Events,Location,Fighter1,Fighter2,Winner,fighter1_odds,fighter2_odds,Favourite,Label
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Dustin Poirier,Daniel Hooker,Dustin Poirier,1.47,2.95,f1,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Mike Perry,Mickey Gall,Mike Perry,1.32,3.8,f1,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Gian Villante,Maurice Greene,Maurice Greene,3.18,1.48,f2,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Kyle Daukaus,Brendan Allen,Brendan Allen,3.65,1.34,f2,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Takashi Sato,Jason Witt,Takashi Sato,1.41,3.35,f1,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Sean Woodson,Julian Erosa,Julian Erosa,1.2,5.35,f1,Underdog
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Luis Pena,Khama Worthy,Khama Worthy,1.44,3.25,f1,Underdog
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Philipe Lins,Tanner Boser,Tanner Boser,1.91,2.05,f1,Underdog
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Jinh Yu Frey,Kay Hansen,Kay Hansen,2.75,1.59,f2,Favourite
UFC Fight Night 175,Las Vegas; 27th Jun 2020,Jordan Griffin,Youssef Zalal,Youssef Zalal,2.16,1.83,f2,Favourite
UFC 251,Yas Island; 11th Jul 2020,Kamaru Usman,Jorge Masvidal,Kamaru Usman,1.48,3.31,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Alex Volkanovski,Max Holloway,Alex Volkanovski,1.5,2.94,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Petr Yan,Jose Aldo,Petr Yan,1.49,3.0,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Rose Namajunas,Jessica Andrade,Rose Namajunas,1.53,2.86,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Paige VanZant,Amanda Ribas,Amanda Ribas,7.75,1.17,f2,Favourite
UFC 251,Yas Island; 11th Jul 2020,Volkan Oezdemir,Jiri Prochazka,Jiri Prochazka,1.68,2.35,f1,Underdog
UFC 251,Yas Island; 11th Jul 2020,Elizeu Zaleski dos Santos,Muslim Salikhov,Muslim Salikhov,2.18,1.81,f2,Favourite
UFC 251,Yas Island; 11th Jul 2020,Danny Henry,Makwan Amirkhani,Makwan Amirkhani,2.8,1.53,f2,Favourite
UFC 251,Yas Island; 11th Jul 2020,Leonardo Santos,Roman Bogatov,Leonardo Santos,1.6,2.6,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Marcin Tybura,Maxim Grishin,Marcin Tybura,1.95,1.98,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Raulian Paiva,Zhalgas Zhumagulov,Raulian Paiva,1.6,2.53,f1,Favourite
UFC 251,Yas Island; 11th Jul 2020,Vanessa Melo,Karol Rosa,Karol Rosa,3.11,1.44,f2,Favourite
UFC 251,Yas Island; 11th Jul 2020,Martin Day,Davey Grant,Davey Grant,1.64,2.6,f1,Underdog
UFC Fight Island 1,Yas Island; 15th Jul 2020,Calvin Kattar,Dan Ige,Calvin Kattar,1.38,3.5,f1,Favourite
UFC Fight Island 1,Yas Island; 15th Jul 2020,Tim Elliott,Ryan Benoit,Tim Elliott,1.8,2.25,f1,Favourite
UFC Fight Island 1,Yas Island; 15th Jul 2020,Jimmie Rivera,Cody Stamann,Jimmie Rivera,1.8,2.2,f1,Favourite
UFC Fight Island 1,Yas Island; 15th Jul 2020,Molly McCann,Taila Santos,Taila Santos,1.7,2.33,f1,Underdog
UFC Fight Island 1,Yas Island; 15th Jul 2020,Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,1.32,3.85,f1,Underdog
